片名,总票房,导演,主演,上映时间,片长,制作国家,类型,评分(豆瓣电影)
一条狗的回家路,,查尔斯·马丁·史密斯,艾什莉·贾德 乔纳·豪尔-金 亚历桑德拉·希普,2019-01-18,1小时33分钟,美国,剧情,7.1
简爱之约,,张天羽,高广泽 王翦 赵飞燕,2019-01-31,1小时30分钟,中国,喜剧 爱情,6.7
零八三七,,彭柳青,尔玛依娜 陈晔 叶剑飞,2019-01-08,1小时32分钟,中国,爱情 科幻,5.0
“大”人物,,五百,王千源 包贝尔 王迅,2019-01-10,1小时47分钟,中国,动作 犯罪,6.7
女生宿舍,,梁婷,温心 成毅 赵多娜,2019-01-18,1小时43分钟,中国,悬疑 惊悚,5.9
中国推销员,,檀冰,李东学 迈克·泰森 史蒂文·席格,2019-01-09,1小时45分钟,中国,剧情 励志,5.0
掠食城市,,克里斯蒂安·瑞沃斯,史蒂芬·朗 雨果·维文 罗伯特·席安,2019-01-18,2小时8分钟,美国 新西兰,动作 科幻 冒险,6.7
22年后的自白,,入江悠,藤原龙也 伊藤英明 龙星凉,2019-01-11,1小时57分钟,日本,剧情,7.2
大侦探霍桑,,周显扬,韩庚 尹正 张慧雯,2019-01-25,1小时38分钟,中国 美国,悬疑 喜剧 动作,5.4
很高兴遇见·你,,李杰,凌正辉 庞璐佳 林路迪,2019-01-11,1小时32分钟,中国 美国,爱情,4.1
死侍2：我爱我家,,大卫·雷奇,瑞安·雷诺兹 乔什·布洛林 莫蕾娜·巴卡林,2019-01-25,1小时59分钟,美国,动作 冒险 喜剧,7.5
我要上头条,,邢博 刘涛,李彧 彭波 徐光宇,2019-01-11,1小时26分钟,中国,喜剧,5.0
疯狂的契约,,王海,雷牧 贾宗超 吕克·本扎,2019-01-08,1小时25分钟,中国,喜剧,5.0
养家之人,,诺拉·托梅,莎拉·乔德利 拉拉·萨迪丘 莎斯塔·拉蒂夫,2019-01-11,1小时34分钟,加拿大 爱尔兰,动画 家庭 剧情,8.0
奎迪：英雄再起,,小史蒂芬·凯布尔,泰莎·汤普森 西尔维斯特·史泰龙 迈克尔·B·乔丹,2019-01-04,2小时10分钟,美国,剧情 运动,7.9
